CLAVE,UBICACIÓN,ESTADO,MUNICIPIO,POBLACION,LATITUD,LONGITUD,CP,TX,EN HUELLA MBB,USUARIOS ACTIVOS MBB,THP MBB (Mbps)
210146,210146-CLAUDE,Querétaro,Corregidora,"8,634",20.52581389,-100.4609306,76907,FO,MBB,849,7.681
1,000001-ASIENTOS,Aguascalientes,Asientos,"6,882",22.238259,-102.082448,20725,MW,MBB,570,3.000
2,000002-LAS-AMERICAS,Aguascalientes,Calvillo,"25,218",21.84257,-102.71574,20804,MW,MBB,1171,13.359
3,000003-SAN-JOSE-DE-GRACIA,Aguascalientes,San Jose de Gracia,"7,969",22.1507156,-102.414494,20500,Satelital,MBB,234,11.970
7,000007-1203-AGUASCALIENTES,Aguascalientes,Aguascalientes,"8,241",21.873406,-102.269192,20250,FO,MBB,880,16.992
8,000008-MICHOACAN,Aguascalientes,Aguascalientes,"12,698",21.860356,-102.280025,20270,FO,MBB,616,21.930
9,000009-MONUMENTAL,Aguascalientes,Aguascalientes,"20,369",21.876056,-102.307028,20070,FO,MBB,437,16.185
10,000010-AMERICAS,Aguascalientes,Aguascalientes,"19,458",21.924808,-102.292058,20124,FO,MBB,1045,8.412
11,000011-MODERNO,Aguascalientes,Aguascalientes,"15,581",21.884933,-102.317875,20040,FO,MBB,961,11.556
13,000013-1208-AGUASCALIENTES,Aguascalientes,Aguascalientes,"20,532",21.857903,-102.250419,20263,FO,MBB,1421,12.843
14,000014-OJO-CALIENTE,Aguascalientes,Aguascalientes,"14,503",21.885294,-102.250847,20196,FO,MBB,1818,10.975
15,000015-1223-AGUASCALIENTES,Aguascalientes,Aguascalientes,"6,208",21.851167,-102.306917,20287,FO,MBB,1129,14.822
16,000016-PALACIO,Aguascalientes,Aguascalientes,"12,922",21.881885,-102.283094,20259,MW,MBB,568,14.871
17,000017-CALVILLO,Aguascalientes,Aguascalientes,"15,013",21.870994,-102.319228,20217,FO,MBB,771,12.866
18,000018-SALIDA-SAN-LUIS,Aguascalientes,Aguascalientes,"7,162",21.868264,-102.244042,20196,FO,MBB,1070,14.809
19,000019-JM-CHAVEZ-CHAVEZ-II,Aguascalientes,Aguascalientes,"12,550",21.865191,-102.294869,20280,FO,MBB,639,16.031
20,000020-SIGLO-XXI,Aguascalientes,Aguascalientes,"14,895",21.921022,-102.262033,20179,FO,MBB,1067,9.668
21,000021-HEROES,Aguascalientes,Aguascalientes,"18,020",21.884889,-102.270278,20180,FO,MBB,970,10.991
22,000022-GABRIELA-MISTRAL,Aguascalientes,Aguascalientes,"14,650",21.900778,-102.254278,20170,FO,MBB,2112,9.870
23,000023-CAMPESTRE,Aguascalientes,Aguascalientes,"11,632",21.926258,-102.317944,20119,FO,MBB,233,16.691
24,000024-ADUANA,Aguascalientes,Aguascalientes,"9,071",21.846908,-102.294189,20280,FO,MBB,1068,16.273
25,000025-SANTA-MONICA,Aguascalientes,Aguascalientes,"15,600",21.841889,-102.324456,20200,FO,MBB,1156,9.933
26,000026-MORELOS,Aguascalientes,Aguascalientes,"9,914",21.849764,-102.252944,20299,FO,MBB,1942,15.757
27,000027-FRESNEL,Aguascalientes,Aguascalientes,"20,810",21.822291,-102.281476,20296,FO,MBB,1321,7.663
28,000028-ALTA-VISTA,Aguascalientes,Aguascalientes,"15,604",21.89277,-102.308273,20040,FO,MBB,1192,10.542
29,000029-EL-OBRAJE,Aguascalientes,Aguascalientes,"41,437",21.875056,-102.296133,20230,FO,MBB,1209,10.035
30,000030-MADRIGAL,Aguascalientes,Aguascalientes,"7,108",21.936512,-102.243588,20126,FO,MBB,901,14.631
31,000031-LOS-BOSQUES,Aguascalientes,Aguascalientes,"18,748",21.915139,-102.304694,20130,FO,MBB,805,10.039
32,000032-CAVAS,Aguascalientes,Aguascalientes,"12,985",21.908757,-102.316428,20130,FO,MBB,435,14.590
33,000033-LA-CANTERA-II,Aguascalientes,Aguascalientes,"10,217",21.85591111,-102.3516867,20200,FO,MBB,340,10.024
34,000034-CINCO-DE-MAYO,Aguascalientes,Aguascalientes,"37,990",21.88775,-102.2975,20000,FO,MBB,1038,8.923
35,000035-ARISPE,Aguascalientes,Aguascalientes,"8,711",21.907778,-102.237,20174,FO,MBB,1421,8.401
36,000036-VILLA-TERESA,Aguascalientes,Aguascalientes,"9,567",21.9145,-102.282219,20159,FO,MBB,1205,7.236
37,000037-SANTA-ANITA,Aguascalientes,Aguascalientes,"8,966",21.898521,-102.275477,20169,FO,MBB,1043,9.351
38,000038-ISLA-SAN-MARCOS,Aguascalientes,Aguascalientes,"9,875",21.860504,-102.315829,20210,FO,MBB,938,14.283
