CLAVE,UBICACIÓN,ESTADO,MUNICIPIO,POBLACION,LATITUD,LONGITUD,CP,TX,EN HUELLA MBB,USUARIOS ACTIVOS MBB
210146,210146-CLAUDE,Querétaro,Corregidora,8633.548257,20.52581389,-100.4609306,76907,FO,MBB,952
1,000001-ASIENTOS,Aguascalientes,Asientos,6881.957826,22.238259,-102.082448,20725,MW,MBB,521
2,000002-LAS-AMERICAS,Aguascalientes,Calvillo,25217.96357,21.84257,-102.71574,20804,MW,MBB,1211
3,000003-SAN-JOSE-DE-GRACIA,Aguascalientes,San Jose de Gracia,7969.283929,22.1507156,-102.414494,20500,Satelital,MBB,201
7,000007-1203-AGUASCALIENTES,Aguascalientes,Aguascalientes,8240.596714,21.873406,-102.269192,20250,FO,MBB,901
8,000008-MICHOACAN,Aguascalientes,Aguascalientes,12697.6075,21.860356,-102.280025,20270,FO,MBB,686
9,000009-MONUMENTAL,Aguascalientes,Aguascalientes,20368.57837,21.876056,-102.307028,20070,FO,MBB,470
10,000010-AMERICAS,Aguascalientes,Aguascalientes,19457.9238,21.924808,-102.292058,20124,FO,MBB,1274
11,000011-MODERNO,Aguascalientes,Aguascalientes,15581.18342,21.884933,-102.317875,20040,FO,MBB,1100
13,000013-1208-AGUASCALIENTES,Aguascalientes,Aguascalientes,20531.87076,21.857903,-102.250419,20263,FO,MBB,1650
14,000014-OJO-CALIENTE,Aguascalientes,Aguascalientes,14502.6907,21.885294,-102.250847,20196,FO,MBB,2002
15,000015-1223-AGUASCALIENTES,Aguascalientes,Aguascalientes,6207.662929,21.851167,-102.306917,20287,FO,MBB,1300
16,000016-PALACIO,Aguascalientes,Aguascalientes,12921.66112,21.881885,-102.283094,20259,MW,MBB,669
17,000017-CALVILLO,Aguascalientes,Aguascalientes,15012.82299,21.870994,-102.319228,20217,FO,MBB,917
18,000018-SALIDA-SAN-LUIS,Aguascalientes,Aguascalientes,7162.103927,21.868264,-102.244042,20196,FO,MBB,1268
19,000019-JM-CHAVEZ-CHAVEZ-II,Aguascalientes,Aguascalientes,12549.50486,21.865191,-102.294869,20280,FO,MBB,687
20,000020-SIGLO-XXI,Aguascalientes,Aguascalientes,14895.10007,21.921022,-102.262033,20179,FO,MBB,1373
21,000021-HEROES,Aguascalientes,Aguascalientes,18020.45127,21.884889,-102.270278,20180,FO,MBB,1170
22,000022-GABRIELA-MISTRAL,Aguascalientes,Aguascalientes,14649.52768,21.900778,-102.254278,20170,FO,MBB,2504
23,000023-CAMPESTRE,Aguascalientes,Aguascalientes,11631.92953,21.926258,-102.317944,20119,FO,MBB,271
24,000024-ADUANA,Aguascalientes,Aguascalientes,9070.985597,21.846908,-102.294189,20280,FO,MBB,1369
25,000025-SANTA-MONICA,Aguascalientes,Aguascalientes,15600.17123,21.841889,-102.324456,20200,FO,MBB,1303
26,000026-MORELOS,Aguascalientes,Aguascalientes,9914.032622,21.849764,-102.252944,20299,FO,MBB,2116
27,000027-FRESNEL,Aguascalientes,Aguascalientes,20810.35522,21.822291,-102.281476,20296,FO,MBB,1432
28,000028-ALTA-VISTA,Aguascalientes,Aguascalientes,15603.96852,21.89277,-102.308273,20040,FO,MBB,1258
29,000029-EL-OBRAJE,Aguascalientes,Aguascalientes,41437.16364,21.875056,-102.296133,20230,FO,MBB,1333
30,000030-MADRIGAL,Aguascalientes,Aguascalientes,7107.672978,21.936512,-102.243588,20126,FO,MBB,1104
31,000031-LOS-BOSQUES,Aguascalientes,Aguascalientes,18747.95571,21.915139,-102.304694,20130,FO,MBB,752
32,000032-CAVAS,Aguascalientes,Aguascalientes,12984.95273,21.908757,-102.316428,20130,FO,MBB,577
33,000033-LA-CANTERA-II,Aguascalientes,Aguascalientes,10216.56806,21.85591111,-102.3516867,20200,FO,MBB,415
34,000034-CINCO-DE-MAYO,Aguascalientes,Aguascalientes,37990.28964,21.88775,-102.2975,20000,FO,MBB,995
35,000035-ARISPE,Aguascalientes,Aguascalientes,8711.487915,21.907778,-102.237,20174,FO,MBB,3020
36,000036-VILLA-TERESA,Aguascalientes,Aguascalientes,9567.193578,21.9145,-102.282219,20159,FO,MBB,1325
37,000037-SANTA-ANITA,Aguascalientes,Aguascalientes,8965.921128,21.898521,-102.275477,20169,FO,MBB,1096
38,000038-ISLA-SAN-MARCOS,Aguascalientes,Aguascalientes,9874.79174,21.860504,-102.315829,20210,FO,MBB,1227
42,000042-LA-GAVIA,Aguascalientes,Aguascalientes,2643.066904,21.891742,-102.24287,20196,FO,MBB,1410
43,000043-AGUASCALIENTES-APTO,Aguascalientes,Aguascalientes,12323.16211,21.70077,-102.31097,20340,FO,MBB,530
44,000044-ENLACE-AEROPUERTO,Aguascalientes,Aguascalientes,34823.16805,21.73126,-102.27582,20340,FO,MBB,1294
45,000045-PARQUE-INDUSTRIAL-AGS,Aguascalientes,Aguascalientes,7364.637914,21.83448,-102.28561,20290,FO,MBB,579
46,000046-PLANTA-NISSAN,Aguascalientes,Aguascalientes,16067.26543,21.80062,-102.28584,20283,FO,MBB,1151
47,000047-ARQUEROS,Aguascalientes,Aguascalientes,4849.420196,21.86172,-102.26969,20264,FO,MBB,484
48,000048-LAS-PALMITAS,Aguascalientes,Aguascalientes,9160.859915,21.86361,-102.23345,20263,FO,MBB,1852
49,000049-MALDONADO,Aguascalientes,Aguascalientes,6951.97486,21.88422,-102.23734,20196,FO,MBB,2321
50,000050-OJO-CALIENTE,Aguascalientes,Aguascalientes,6168.422088,21.872921,-102.258297,20256,FO,MBB,1136
51,000051-RINCON-DEL-PARQUE,Aguascalientes,Aguascalientes,21869.86081,21.890862,-102.283564,20030,FO,MBB,743
52,000052-LA-NORIA,Aguascalientes,Aguascalientes,14359.65126,21.869298,-102.283256,20240,FO,MBB,862
53,000053-EL-DORADO,Aguascalientes,Aguascalientes,7867.17488,21.862092,-102.304506,20235,FO,MBB,428
54,000054-MADERO,Aguascalientes,Aguascalientes,21182.51041,21.88427,-102.29034,20000,FO,MBB,429
55,000055-CONSTITUCION,Aguascalientes,Aguascalientes,7783.508787,21.937511,-102.28087,20126,FO,MBB,749
